Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
19;tai100_10_0.fsp;100;100;1;1;20;swap;ox;316081.0;323333.0;320083.2;2140.83;94.265;10000;300566
20;tai100_10_0.fsp;100;100;1;1;20;swap;pmx;314947.0;322210.0;318714.1;2103.99;88.484;10000;300566
21;tai100_10_0.fsp;100;100;1;1;20;swap;cx;318773.0;323968.0;321398.7;1675.99;87.536;10000;300566
19;tai100_20_0.fsp;100;100;1;1;20;swap;ox;389043.0;399255.0;394244.6;2613.91;180.122;10000;367267
20;tai100_20_0.fsp;100;100;1;1;20;swap;pmx;390247.0;399593.0;394376.4;2868.01;173.232;10000;367267
21;tai100_20_0.fsp;100;100;1;1;20;swap;cx;393423.0;398363.0;396291.5;1556.02;172.941;10000;367267
