Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
9;tai20_5_0.fsp;100;100;1;0.0;5;swap;ox;14203.0;14943.0;14460.3;219.84;10.731;10000;14033
10;tai20_5_0.fsp;100;100;1;0.01;5;swap;ox;14205.0;14738.0;14382.0;163.85;10.643;10000;14033
11;tai20_5_0.fsp;100;100;1;0.1;5;swap;ox;14095.0;14465.0;14295.0;120.92;10.634;10000;14033
12;tai20_5_0.fsp;100;100;1;1.0;5;swap;ox;14158.0;14448.0;14281.1;88.7;11.124;10000;14033
9;tai20_10_0.fsp;100;100;1;0.0;5;swap;ox;21129.0;21950.0;21555.5;275.18;20.046;10000;20911
10;tai20_10_0.fsp;100;100;1;0.01;5;swap;ox;21228.0;21975.0;21629.7;230.69;19.258;10000;20911
11;tai20_10_0.fsp;100;100;1;0.1;5;swap;ox;21459.0;22071.0;21736.1;220.81;19.038;10000;20911
12;tai20_10_0.fsp;100;100;1;1.0;5;swap;ox;21175.0;21934.0;21476.1;211.97;19.182;10000;20911
9;tai20_20_0.fsp;100;100;1;0.0;5;swap;ox;34198.0;35041.0;34615.4;261.74;35.638;10000;33623
10;tai20_20_0.fsp;100;100;1;0.01;5;swap;ox;34025.0;34675.0;34373.9;239.99;35.658;10000;33623
11;tai20_20_0.fsp;100;100;1;0.1;5;swap;ox;34014.0;34585.0;34334.3;174.83;35.682;10000;33623
12;tai20_20_0.fsp;100;100;1;1.0;5;swap;ox;34127.0;34462.0;34320.9;142.37;35.936;10000;33623
